http://www.nytimes.com/2015/12/01/business/security-breach-at-toy-maker-vtech-includes-data-on-children.html
671505406498349057	2013Chancellor	breach at toy maker vtech includes data on children 
671526771611729920	cw_moss	we need a online bill of rights . this is absurd . 
671526069057413120	ericbellamy11	security breach at toy maker vtech includes data on children - new york times 
671522136247377921	nordicfreelance	rt a digital toy maker was hacked , putting 5 million people ( including children ) at risk 
671503559138111488	anchorpointsec	vtech security breach puts personal information of 5 million people , including children , at risk . 
671478270492282880	MiamiElectricx	the hong kong company said that personal information of five million people had been compromised , including the na … 
671475408492187648	Sec_Cyber	security at toy maker vtech includes data on children 
671466763276574720	GypsyLaneTech	security breach at toy maker vtech includes … 
		the hong kong company said that personal information of five million people had been compromised , including the names and birth dates of children . 

http://www.nytimes.com/2015/12/01/world/asia/narendra-modi-could-make-or-break-obamas-climate-legacy.html
671519865681899520	MrvanDalenINT	narendra modi could make or break obama's climate legacy - new york times 
671525410635694080	nytimes	. could make or break obama’s climate legacy 
671532214270595072	satyavrata9	narendra modi could make or break obama’s legacy 
671524536496480256	WittonGwallter	narendra modi could make or break obama's climate legacy - … 
671524476132151296	rodulfox	web dsign 
671520031478571009	soolara	“ india is not an easy country to negotiate with , ” mr. ramesh said . “ we are moralistic , we are argumentative , we ... 
671519481449938944	sampenrose	detailed update on leadership from , . 
671517017636139008	jeremic_vuk	all eyes on strong arguments on his side , but our common future depends on his leadership 
		despite efforts by president obama to win the indian prime minister’s cooperation on reducing harmful emissions , india’s negotiators have so far staked out an uncompromising position . 

http://www.nytimes.com/2015/12/01/us/1-5-million-bond-set-for-officer-in-chicago-shooting.html
		officer in chicago shooting is released from jail 
671490534590951424	SimplyNewsApp	$1.5 million bond set for in 
671452034789429249	IntNewsWatch	$1.5 million bond set for officer in chicago shooting - 
671469997810520064	Rachel_genao	( $1.5 million bond set for officer in chicago shooting : jason van dyke , charged ... ( 
671469882236538881	iRoobeert_x7	[ ♥.♥ ] $1.5 million bond set for officer in chicago shooting 
671469864473661440	FlordelAlba_xD	( ) $1.5 million bond set for officer in chicago shooting via 
		jason van dyke , charged with murder in the shooting death of laquan mcdonald , a black teenager , was freed after posting bond and his lawyer pledged that he was not a flight risk . 

http://www.nytimes.com/2015/12/01/world/europe/how-the-paris-attackers-honed-their-assault-through-trial-and-error.html
		how the paris attackers honed their assault through trial and error 
671534576859222016	mattgoode	>> more on the paris attacks . 
671533767916261379	PerchaChamakiT	state of terror : how the paris attackers honed their assault through trial and ... unete a 
671530966427529217	jmouryl	state of terror : how the paris attackers honed their assault through … 
671529305478995968	SamirKasmi1	via nyt > middle east 
671527286185656324	palafo	tick-tock on the paris attacks , with a network of old hands and new zealots 
		the paris attacks revealed an enemy practicing what one official calls “ dartboard terrorism , ” hurling multiple lethal darts at a distant target until one hits the mark . 

http://www.nytimes.com/2015/12/01/health/blood-pressure-a-reading-with-a-habit-of-straying.html
		blood pressure , a reading with a habit of straying 
671505374374182912	SpatzErica	blood pressure - how should we measure it ? masked htn . nocturnal non-dipping , also bad for cv outcomes . 
671444069805985792	WorldHealthNews	measuring it once is a relatively simple task . measure it again and again , and you might find yourself on a … 
671410489285414912	OrganicFoodGal	measuring it is a relatively simple task . measure it again and again , and you might find yo ... 
671414241589596164	cardiobrief	in the ny times jane brody nearly gets a stroke worrying about her blood pressure . spoiler alert : she's ok . 
671515336198520832	nytimes	reading blood pressure seems simple . but your numbers can change several times a day . 
		measuring it once is a relatively simple task . measure it again and again , and you might find yourself on a roller-coaster ride . 

http://www.nytimes.com/interactive/2015/11/30/style/readers-debate-pursuing-lost-love.html
671305155854376960	nunez_anna	readers debate the wisdom of pursuing a lost 
671455713517051904	lindsayism	these are funny - you can tell which were originally posted on fb & * clearly * meant for a particular person to see : 
671430712386453505	sofia1511	" we don’t have many chances to find true love . take that leap of faith , you may be surprised " , i love this column ❤ ️ 
671397360434475008	chenkx	" we don’t have many chances to find love , let alone true love . " 
671495190184611840	nytimes	pursue a lost love ? readers debate the wisdom of trying to find the one who got away . 
		thoughts on a modern love column , in which the writer had a simple message : “ real love , once blossomed , never disappears . ” 

http://www.nytimes.com/slideshow/2015/11/30/blogs/pictures-of-the-day-france-and-elsewhere/s/20151130POD-slide-UCQ5.html
671509249328025600	Loveley_Eyes	photos of the day 
671446478896955397	Women2Date	pictures of the day : 

http://www.nytimes.com/interactive/2015/11/12/business/media/david-carr-fellowship.html
		what david carr taught us 
671454965420957696	BobbyCervantes	. " i looked into my notebook from a year ago and it said ' ask questions but ask the right questions . '" 
670539664525303808	alan_wrn	as we search for our first david carr fellow , we've been reminded how much david continues to inspire journalists 
670594828359593985	folioweekly	david carr memories former editor anne schindler part of the cult of carr 
670531751400226816	jordanozaki	‘ you have to break some eggs to make an omelet , ’ 
670529202840600576	michaelvoolaid	nytimes : as we search for our first david carr fellow , we've been reminded how much david continues to inspire jou … 
670526840541286400	lucy_trendwatch	rt as we search for our first david carr fellow , we've been reminded how much david continues to inspire journalis … 
671520620530765824	nytimes	what learned from her father : be a david carr fellow : 
		as the times seeks its first david carr fellow , six journalists remember his most important lessons . 

http://www.nytimes.com/interactive/2015/multimedia/2015-holiday-gift-guide.html
671366044561358848	KJDellAntonia	the holiday gift guide ! i helped ( good thing my kids won’t read ) . 
671456021613813760	Papyrus_Online	gifting & guiding has launched thx for including in your travel section ! 
671396796174700544	nytimeswell	the holiday gift guide — picks for kids under 12 and more . 
670394552289636352	TheBestUsaNews	2015 holiday gift ideas and guide 
671395394891436033	sdo310	2015 holiday gift guide : ese sandman overture deluxe edition estira como loco . 
671374745326198784	diannapiedra	gifts season !!! [ 
671372467219361792	hoosierdukie	it's time for the annual " completely ludicrous things nobody can afford " list , aka the ny times ' gift ideas : 
671370834011807744	coopnytimes	dear santa , this stuff , please >>> 
671340879345504256	hapolinario	2015 holiday gift guide via 
671331706176151552	donnakaz	2015 holiday gift guide from 
671028780266299393	nytimestheater	not sure what to get the theater lover on your holiday gift list ? we've got some suggestions . 
671002733651079168	thrimpth	cute interactive gift guide , nyt 
670956860330123264	SavedbyScottie	rt gifts for food lovers 
670671493114802176	MattHallDesigns	my are in the " home " section of the holiday gift guide ! 
670406400959475712	BrennanEm	what will you give your little one this holiday ? 
671487648041713664	nytimes	planning to shop cyber monday sales ? the nyt gift guide is a good place to start . 
		the best present ideas , selected by times experts , to make shopping easy this season . 

http://www.nytimes.com/2015/12/04/fashion/mens-style/the-peculiar-ascent-of-bill-murray-to-secular-saint.html
671500311865856000	miahoren	bill murray ! 
671520626448928768	palafo	bill murray as secular saint . his film and real-life roles are merging . to me this was captured well in zombieland . 
671457629160546305	TDKofGC	brooklyn in the building via nyt 
		the recent proliferation of t-shirts , posters , murals and memes suggests that the man who had his first fame decades ago has become an icon . 

http://www.nytimes.com/2015/11/30/opinion/inequality-and-the-city.html
671472032807329797	YuriArtibise	and the city 
671532356038205441	lirio_gutierrez	rt gentrification is a movement of capital , not people , back to the city 
671528326830297089	nyiaft	" today our urban cores are providing ever more amenities , but largely to a very affluent minority . " 
671461184349052928	LivableBerkeley	density = progressive . krugman : " ... demand for urban living by the elite could be met largely by increasing supply . " 
671525048671477760	davebry9	build nyc taller to help ensure ( reclaim ? ) economic diversity . taller taller taller . up up up . more and more people . 
671464065605218304	JohnPasalis	should we be blaming city planners for high house prices ? krugman seems to think so ! 
671520643309953024	klia00	rt krugman on cities and inequality : " housing policy has become much more important than most people realize . " … 
671517858644410368	ewilljames	rt takes 11 graphs for paul krugman to identify land use restrictions - regulation - as culprit of nyc housing shortage https : … 
671510311841714176	FranTaylor	rt . housing + landuse policy are critical levers thru which can lead in fight v . https://… 
671509002715557888	stefi_bear	inequality and gentrification in nyc : its causes and some potential solutions , from 
671489682614677504	YuriArtibise	" in this age of has become much more important than most people realize . " 
671501775208345600	adampaulblair	on says " ... policy has become much more important than most people realize . " 
671501040139681792	el_maurilio	as higher income ppl move closer to city centers , gr8 need to continue building in 
671495944630878208	The_Suburbanist	krugman thinks that gentrification is " high income elites " who would instead live in " sprawling suburban estates " . 
671494680215965696	jdpink	rt real progresssives who won real nobel prizes support liberalized urban land use policy to fight inequality : … 
671492327542644737	BrisbaneBayland	rt paul krugman calls for land-use deregulation . 
671466673107521541	JohnPasalis	" .. in this age of gentrification , housing policy has become much more important than most people realize " 
671474816302493696	ArmandDoma	rt paul krugman should be expecting a 2am phone call from bay area housing activists . 
671468113142132739	dwatkins3	totally agree with paul krugman on this : " ... mainly because land use restrictions are in the way . " 
671465246326845440	SFHAC	paul krugman on addressing economic inequality in cities : build more housing via 
671462058576187393	federick908	very interesting article by and the 
		as the affluent flock back to the urban centers , there also needs to be enough housing for everyone else . 

http://www.nytimes.com/2015/12/01/nyregion/guilty-verdict-is-a-spur-to-would-be-reformers-of-albanys-political-culture.html
671530964879810560	jmouryl	guilty verdict is a spur to would-be reformers of albany’s political … 
		guilty verdict is a spur to would-be reformers of albany’s political culture 
671516463346393088	susannecraig	at the very least , advocates predicted , the silver verdict could have a chilling effect on albany legislators : 
671520729758760961	myth61589545	guilty verdict is a spur to would-be reformers of albany’s… 
671518466285789184	PoliticaEconomy	guilty verdict is a spur to would-be reformers of albany's political culture - new york times 
671517848766951424	nytimes	watchdog groups expressed optimism that the sheldon silver verdict could spur a more aggressive round of action 
		government-watchdog groups expressed optimism that the conviction of sheldon silver would lead to action , perhaps against the loophole that allows direct corporate contributions to political campaigns . 

http://www.nytimes.com/2015/11/30/movies/oscar-race-begins-without-front-runners-for-a-change.html
671409077369643008	SunBizGriffin	race begins , without front-runners for a change 
671532001661440001	eduardoquezada	quezada post : oscar race begins , without front-runners for a change see more 
		leonardo dicaprio has a strong chance for best actor , but for best picture , all bets are off . 
671399355027427328	quaternitybooks	attention , film buffs ! 

http://www.nytimes.com/interactive/2015/11/20/nyregion/algebra-quiz.html
		how hard is new york’s algebra exam ? 
671517770836803584	jkarchawer	rt how hard is new york’s algebra exam ? 
671517107150979073	1964b1zn3ss	how hard is new york’s algebra exam ? happy to remember how to attack these successfully😎 
671514140314198016	aymanfadel	how hard is new york’s algebra exam ? ( got 5/5 , but with effort ) 
671305423874584576	DrTonyWagner	question no one asks about this math : why should students care about solving problems like these ? 
671454623924785152	footnoted	couldn’t resist algebra test . got 100 on my algebra regents a long time ago . only 4/5 correct this time ! 
671442370156630016	MathDis	how hard is new york’s algebra exam ? - the new york times 
671428966981480449	samanthastorey	sample test questions from new york's algebra exam . i got 2/5 . 
671424623880327168	CTLizB	not surprisingly , i cannot recall how to do any of this : 
671425133937074177	katetaylornyt	could you pass new york's new algebra i regents exam ? 
671424385987813376	troy_dai	seriously americans , if this is your high school algebra exam you're fucked up . 
671418848638144514	Alexander001a	i would not be comparing it to " average " standards , i would be comparing it to the highest global standards ! the sam … 
671386100594774016	hchamp	but will either company be around that long ? 
671384215674580992	KaitWells	* quiz * how hard is exam ? i am a writer , so numbers are not my friend . but i still scored 5/5 . 
671380936899076097	andywonders	will you do better than 37% of new york students on the algebra test ? 
671357951496556546	amyvirshup	i got 3 out of 5 on the regents algebra quiz . not sure i'm college ready . 
671359298962870272	tomwp	want to be disappointed by how much smarter you used to be ? take our high school algebra quiz ! 
671340823775199233	amyvirshup	could you pass the regent's algebra exam ? take the quiz . 
671341980291571712	NewVisionsNYC	do u think exam is too hard ? try quiz to get a sense 4 yourself : 
671341757586669572	ms_emarie	rt could you pass the regent's algebra exam ? take the quiz . 
671327474072993793	mbspringer133	jonah first choice 8 . . 
671317492900458496	ingridspangler	i got four out of five right on this algebra quiz and i guessed at two of them , just like high school : 
671510291218305024	nytimes	how hard is new york's high school algebra exam ? 5 questions to test your math skills . 
		a sample of questions from this year’s new york regents algebra i exam , which was aligned with the common core curriculum . 

http://www.nytimes.com/2015/12/01/sports/baseball/new-york-mets-may-get-world-series-rings-too.html
671533416236638208	OnitMania	" mets getting rings for losing world series ? " 
		in baseball , a sparkling consolation prize 
671437899330523136	TNNetworkS	to the winners , a ring . and to the losers , also a ring . 
671520676793212928	RebeccaRuiz	. on " losers ' rings , " mementos that nostalgic runners-up buy themselves in baseball 
671519852297715712	Baseballview	to the winners , a ring . and to the losers , also a ring . - new york times 
671515227431804929	updatly	" to the winners , a ring . and to the losers , also a ring . " by tim rohan via nyt 
671514529457676288	kateefeldman	well this is a fun one from -- to the winners , a ring . and to the losers , also a ring . 
671513084037619713	nytimes	the times asked illustrators to design a runners-up world series ring for the 2015 mets 
		in baseball , unlike other sports , the runner-up for the title often gives itself rings ( although the champion’s jewelry is flashier ) . 

