http://www.nytimes.com/2015/12/06/arts/music/u2-preaching-defiance-heads-back-to-paris.html
		u2 , preaching defiance , heads back to paris 
672013609606717440	nytimes	" isis and these kinds of extremists are a death cult . we’re a life cult . " u2 heads to paris 
672021868006744064	wanderingpen	my admiration for bono and what he stands for doesn't waver . u2 was scheduled to perform in paris the day after th … 
		the band looks to bring support to the city in the wake of the nov . 13 terrorist attacks . 

http://www.nytimes.com/2015/12/01/opinion/the-questionable-accounting-behind-the-worlds-carbon-budget.html
672016167062659072	mrjosewilson	rt amyharlib retweeted olav aamlid syversen ( olavaamlidsyver ): made me think and look up the questionable … 
672015712039366656	amyharlib	retweeted olav aamlid syversen ( made me think and look up the questionable accounting ... 
671742572201713665	thecarfanman	the questionable accounting behind the world’s carbon budget 
671928751303827456	gecko39	dubious carbon budget 
672004931600187392	lucaberga	should learn from avoid relying on economic models detached from reality 
671974219274690560	mrjosewilson	rt amyabarry on climate we're relying on models that are 100% detached from real world - same mistake led to finan … 
671974037359304704	amyabarry	on climate we're relying on models that are 100% detached from real world - same mistake led to financial crisis : 
671879631247683584	Msheremata	' because right now , we’re on the verge of repeating the same mistake that led to the financial crisis ' 
671872899087773698	mrjosewilson	rt wspencerreeder a reminder of how important aggressive action now is ... should we be advocating for more stringe … 
671872313847975936	WSpencerReeder	a reminder of how important aggressive action now is ... should we be advocating for more stringent carbon budgets ? 
671853263143092224	danagram	the dubious accounting behind the world's carbon budget 
671819278627282944	lvgaldieri	we " need to seriously discuss " carbon capture technologies . but how do we move discussion to " the political level " ? 
671817766790279168	RebsFE	the case for scrutinizing carbon budgets ... never as straightforward as the economists would have us believe 
671755387058655232	DuncanArchitect	the questionable accounting behind the world's carbon budget 
671752387124715522	Climate_ChangeS	a smart comment on " negative emissions " 
671743632806961152	GaraviniG	carbon capture and storage is no miraculous solution to reduce emissions 
671728909273141248	brianmagi	op-ed about and negative emissions . bottom line : worry about reducing positive emissions 1st ! 
671685671166214144	ClimateFran	right : negative emissions are a huge asterisk on wg3 results . wrong : this is informing anything going on in paris 
671685917623631872	mrjosewilson	rt climatefran right : negative emissions are a huge asterisk on wg3 results . wrong : this is informing anything goi … 

http://news.blogs.nytimes.com/2015/12/01/what-were-reading-110/
671928187325186048	aleperezprieto	what we & reading 
671927809313366016	ashleykgross	way to go , nyt recognizes her amazing story about soldiers ' underground anti-vietnam war newspapers 
671846406169239552	alphonsepb	" what we’re reading " by the new york times via nyt 
