to ||| 210 0.03
in ||| 195 0.03
the ||| 172 0.02
of ||| 137 0.02
a ||| 122 0.02
for ||| 102 0.01
on ||| 63 0.01
says ||| 58 0.01
is ||| 58 0.01
and ||| 57 0.01
after ||| 49 0.01
with ||| 48 0.01
at ||| 42 0.01
s ||| 36 0.0
are ||| 32 0.0
by ||| 31 0.0
pope ||| 31 0.0
police ||| 30 0.0
refugees ||| 28 0.0
will ||| 28 0.0
from ||| 28 0.0
as ||| 27 0.0
new ||| 27 0.0
migrants ||| 26 0.0
this ||| 25 0.0
his ||| 25 0.0
was ||| 25 0.0
it ||| 25 0.0
you ||| 23 0.0
say ||| 23 0.0
amp ||| 22 0.0
who ||| 21 0.0
up ||| 21 0.0
be ||| 21 0.0
us ||| 20 0.0
over ||| 20 0.0
what ||| 19 0.0
an ||| 19 0.0
that ||| 19 0.0
has ||| 19 0.0
more ||| 18 0.0
2 ||| 18 0.0
about ||| 17 0.0
her ||| 17 0.0
francis ||| 17 0.0
one ||| 17 0.0
they ||| 17 0.0
have ||| 16 0.0
day ||| 16 0.0
all ||| 15 0.0
football ||| 15 0.0
dies ||| 15 0.0
but ||| 14 0.0
http ||| 14 0.0
syrian ||| 14 0.0
death ||| 14 0.0
clerk ||| 14 0.0
no ||| 14 0.0
kentucky ||| 14 0.0
school ||| 14 0.0
he ||| 13 0.0
out ||| 13 0.0
uk ||| 13 0.0
marriage ||| 13 0.0
u ||| 13 0.0
home ||| 12 0.0
video ||| 12 0.0
last ||| 12 0.0
found ||| 12 0.0
poll ||| 12 0.0
killed ||| 12 0.0
people ||| 12 0.0
hungary ||| 12 0.0
i ||| 11 0.0
off ||| 11 0.0
labor ||| 11 0.0
high ||| 11 0.0
back ||| 11 0.0
syria ||| 11 0.0
trump ||| 11 0.0
deal ||| 11 0.0
points ||| 11 0.0
president ||| 11 0.0
how ||| 11 0.0
state ||| 10 0.0
border ||| 10 0.0
licenses ||| 10 0.0
family ||| 10 0.0
iran ||| 10 0.0
same-sex ||| 10 0.0
week ||| 10 0.0
3 ||| 10 0.0
can ||| 10 0.0
leave ||| 10 0.0
judge ||| 10 0.0
life ||| 10 0.0
dow ||| 10 0.0
germany ||| 10 0.0
david ||| 9 0.0
their ||| 9 0.0
body ||| 9 0.0
europe ||| 9 0.0
park ||| 9 0.0
its ||| 9 0.0
show ||| 9 0.0
shot ||| 9 0.0
first ||| 9 0.0
texas ||| 9 0.0
so ||| 9 0.0
died ||| 9 0.0
down ||| 9 0.0
two ||| 9 0.0
donald ||| 9 0.0
officer ||| 9 0.0
near ||| 9 0.0
work ||| 9 0.0
parts ||| 8 0.0
it's ||| 8 0.0
officials ||| 8 0.0
thousands ||| 8 0.0
watch ||| 8 0.0
chicago ||| 8 0.0
into ||| 8 0.0
pm ||| 8 0.0
during ||| 8 0.0
station ||| 8 0.0
5 ||| 8 0.0
your ||| 8 0.0
take ||| 8 0.0
were ||| 8 0.0
not ||| 8 0.0
car ||| 8 0.0
teen ||| 8 0.0
support ||| 8 0.0
players ||| 8 0.0
give ||| 8 0.0
like ||| 7 0.0
contempt ||| 7 0.0
train ||| 7 0.0
missing ||| 7 0.0
american ||| 7 0.0
issue ||| 7 0.0
woman ||| 7 0.0
cameron ||| 7 0.0
calls ||| 7 0.0
students ||| 7 0.0
there ||| 7 0.0
being ||| 7 0.0
very ||| 7 0.0
minister ||| 7 0.0
west ||| 7 0.0
10 ||| 7 0.0
than ||| 7 0.0
year ||| 7 0.0
man ||| 7 0.0
visit ||| 7 0.0
boy ||| 7 0.0
p ||| 7 0.0
weekend ||| 7 0.0
happy ||| 7 0.0
country ||| 7 0.0
said ||| 7 0.0
report ||| 7 0.0
shooting ||| 6 0.0
does ||| 6 0.0
powell ||| 6 0.0
she ||| 6 0.0
could ||| 6 0.0
our ||| 6 0.0
won't ||| 6 0.0
hampshire ||| 6 0.0
georgia ||| 6 0.0
nasdaq ||| 6 0.0
most ||| 6 0.0
obama ||| 6 0.0
least ||| 6 0.0
enough ||| 6 0.0
through ||| 6 0.0
accept ||| 6 0.0
only ||| 6 0.0
paid ||| 6 0.0
still ||| 6 0.0
france ||| 6 0.0
crisis ||| 6 0.0
suspect ||| 6 0.0
colin ||| 6 0.0
fight ||| 6 0.0
dead ||| 6 0.0
had ||| 6 0.0
thanks ||| 6 0.0
year-old ||| 6 0.0
player ||| 6 0.0
tells ||| 6 0.0
refugee ||| 6 0.0
arrested ||| 6 0.0
referee ||| 5 0.0
ruling ||| 5 0.0
north ||| 5 0.0
world ||| 5 0.0
lead ||| 5 0.0
sick ||| 5 0.0
point ||| 5 0.0
executive ||| 5 0.0
drone ||| 5 0.0
injured ||| 5 0.0
nuclear ||| 5 0.0
son ||| 5 0.0
jail ||| 5 0.0
which ||| 5 0.0
davis ||| 5 0.0
announces ||| 5 0.0
crash ||| 5 0.0
2016 ||| 5 0.0
run ||| 5 0.0
big ||| 5 0.0
9 ||| 5 0.0
look ||| 5 0.0
budapest ||| 5 0.0
officers ||| 5 0.0
garfield ||| 5 0.0
jeb ||| 5 0.0
house ||| 5 0.0
help ||| 5 0.0
brady ||| 5 0.0
court ||| 5 0.0
injury ||| 5 0.0
6 ||| 5 0.0
chinese ||| 5 0.0
child's ||| 5 0.0
hollande ||| 5 0.0
among ||| 5 0.0
many ||| 5 0.0
august ||| 5 0.0
jobs ||| 5 0.0
college ||| 5 0.0
carolina ||| 5 0.0
hillary ||| 5 0.0
open ||| 5 0.0
suspended ||| 5 0.0
care ||| 5 0.0
girl ||| 5 0.0
now ||| 5 0.0
may ||| 5 0.0
arrive ||| 5 0.0
love ||| 5 0.0
team ||| 5 0.0
did ||| 5 0.0
veterans ||| 5 0.0
time ||| 5 0.0
authorities ||| 5 0.0
isis ||| 5 0.0
kim ||| 5 0.0
air ||| 5 0.0
families ||| 5 0.0
news ||| 5 0.0
away ||| 5 0.0
best ||| 5 0.0
coast ||| 5 0.0
do ||| 5 0.0
tom ||| 5 0.0
another ||| 5 0.0
days ||| 5 0.0
before ||| 5 0.0
want ||| 5 0.0
my ||| 5 0.0
refusing ||| 5 0.0
me ||| 5 0.0
call ||| 5 0.0
reports ||| 5 0.0
100 ||| 5 0.0
here ||| 5 0.0
4 ||| 5 0.0
official ||| 4 0.0
